name,disease_target,composition,suitable_for,price,effectiveness_score,availability
Amitriptyline,Migraine,"[{'ingredient': 'Amitriptyline', 'mg': 18.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",253.39,0.6423,False
Pimecrolimus OD,Eczema,"[{'ingredient': 'Pimecrolimus', 'mg': 10.0, 'percentage': 100.0}]",['Senior'],379.4,0.7677,True
Liothyronine CR,Hypothyroidism,"[{'ingredient': 'Liothyronine Sodium', 'mg': 17.5, 'percentage': 100.0}]",['Child'],34.46,0.9367,True
Pantoprazole XR,Gastritis,"[{'ingredient': 'Pantoprazole Sodium', 'mg': 26, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",215.95,0.6923,True
Cefuroxime,Otitis Media,"[{'ingredient': 'Cefuroxime Axetil', 'mg': 360, 'percentage': 100.0}]",['Senior'],160.2,0.5564,False
Linaclotide,Irritable Bowel Syndrome,"[{'ingredient': 'Linaclotide', 'mg': 250, 'percentage': 100.0}]","['Child', 'Adult']",283.1,0.7002,False
Hydrocortisone 500mg,Eczema,"[{'ingredient': 'Hydrocortisone', 'mg': 18.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",827.77,0.8342,True
Atomoxetine SR,ADHD,"[{'ingredient': 'Atomoxetine HCl', 'mg': 88, 'percentage': 100.0}]","['Adult', 'Senior']",774.55,0.5093,True
Pregabalin,Cancer Pain Management,"[{'ingredient': 'Pregabalin', 'mg': 105, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1198.88,0.6907,True
Amantadine CR,Parkinson's Disease,"[{'ingredient': 'Amantadine HCl', 'mg': 190, 'percentage': 100.0}]",['Child'],3449.02,0.5406,True
Bupropion XR,Major Depressive Disorder,"[{'ingredient': 'Bupropion HCl', 'mg': 185, 'percentage': 100.0}]",['Adult'],383.02,0.6325,True
Rasagiline 250mg,Parkinson's Disease,"[{'ingredient': 'Rasagiline Mesylate', 'mg': 0.807, 'percentage': 100.0}]","['Adult', 'Senior']",1243.31,0.9606,True
Furosemide,Heart Failure,"[{'ingredient': 'Furosemide', 'mg': 38, 'percentage': 100.0}]",['Senior'],1375.86,0.9448,True
Migranil CR,Migraine,"[{'ingredient': 'Paracetamol', 'mg': 595, 'percentage': 93.6}, {'ingredient': 'Caffeine', 'mg': 41, 'percentage': 6.4}]","['Child', 'Adult']",247.0,0.8284,True
Clonidine,ADHD,"[{'ingredient': 'Clonidine HCl', 'mg': 0.13, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",771.54,0.7363,True
Evolocumab,Hyperlipidemia,"[{'ingredient': 'Evolocumab', 'mg': 240, 'percentage': 100.0}]","['Adult', 'Senior']",432.28,0.7496,True
Foracort Forte,Asthma,"[{'ingredient': 'Formoterol', 'mg': 10.5, 'percentage': 7.2}, {'ingredient': 'Budesonide', 'mg': 135, 'percentage': 92.8}]",['Senior'],1131.71,0.6684,True
Montelukast Generic,Allergic Rhinitis,"[{'ingredient': 'Montelukast Sodium', 'mg': 8.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",417.67,0.7422,True
Doxycycline,Malaria,"[{'ingredient': 'Doxycycline Hyclate', 'mg': 155, 'percentage': 100.0}]","['Adult', 'Senior']",279.52,0.7138,True
Adalimumab,Psoriasis,"[{'ingredient': 'Adalimumab', 'mg': 49, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",4750.17,0.5483,True
Acitretin 500mg,Psoriasis,"[{'ingredient': 'Acitretin', 'mg': 27, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",13510.79,0.9404,True
Prochlorperazine OD,Vertigo,"[{'ingredient': 'Prochlorperazine Maleate', 'mg': 8.0, 'percentage': 100.0}]","['Child', 'Adult']",93.07,0.7935,True
Gabapentin,Cancer Pain Management,"[{'ingredient': 'Gabapentin', 'mg': 610, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",4108.29,0.6264,True
Betamethasone,Eczema,"[{'ingredient': 'Betamethasone Valerate', 'mg': 1.5, 'percentage': 100.0}]","['Adult', 'Senior']",2044.16,0.5835,True
Dexlansoprazole 1000mg,GERD,"[{'ingredient': 'Dexlansoprazole', 'mg': 50, 'percentage': 100.0}]","['Child', 'Adult']",331.33,0.6137,True
Clonazepam XR,Epilepsy,"[{'ingredient': 'Clonazepam', 'mg': 0.973, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",657.23,0.9649,True
Suvorexant,Insomnia,"[{'ingredient': 'Suvorexant', 'mg': 19.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",50.67,0.6285,True
Amoxicillin,Bronchitis,"[{'ingredient': 'Amoxicillin Trihydrate', 'mg': 710, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",349.92,0.5399,False
Losartan Plus,Hypertension,"[{'ingredient': 'Losartan', 'mg': 56, 'percentage': 100.0}]","['Child', 'Adult']",375.58,0.6468,True
Losartan Generic,Hypertension,"[{'ingredient': 'Losartan', 'mg': 28, 'percentage': 100.0}]","['Child', 'Adult']",761.91,0.5684,True
Glimepride XR,Type 2 Diabetes,"[{'ingredient': 'Glimepiride', 'mg': 3.5, 'percentage': 100.0}]","['Child', 'Adult']",598.27,0.637,True
Finasteride,Benign Prostatic Hyperplasia,"[{'ingredient': 'Finasteride', 'mg': 1.0, 'percentage': 100.0}]","['Adult', 'Senior']",387.73,0.5391,True
Valproate,Bipolar Disorder,"[{'ingredient': 'Sodium Valproate', 'mg': 770, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",580.13,0.9019,True
Celecoxib,Arthritis,"[{'ingredient': 'Celecoxib', 'mg': 165, 'percentage': 100.0}]","['Adult', 'Senior']",1906.1,0.5107,True
Suvorexant Plus,Insomnia,"[{'ingredient': 'Suvorexant', 'mg': 18.0, 'percentage': 100.0}]","['Adult', 'Senior']",42.83,0.9516,True
Trimethoprim,Urinary Tract Infection,"[{'ingredient': 'Trimethoprim', 'mg': 145, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",142.44,0.5235,True
Gabapentin Generic,Fibromyalgia,"[{'ingredient': 'Gabapentin', 'mg': 635, 'percentage': 100.0}]","['Child', 'Adult']",793.08,0.6529,True
Amphetamine XR,ADHD,"[{'ingredient': 'Mixed Amphetamine Salts', 'mg': 27, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1638.6,0.7762,True
Methylphenidate XR,ADHD,"[{'ingredient': 'Methylphenidate HCl', 'mg': 19.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1546.82,0.8735,True
Teriflunomide,Multiple Sclerosis,"[{'ingredient': 'Teriflunomide', 'mg': 10.5, 'percentage': 100.0}]",['Child'],11142.29,0.7533,False
Tobramycin Eye CR,Conjunctivitis,"[{'ingredient': 'Tobramycin', 'mg': 3.0, 'percentage': 100.0}]","['Adult', 'Senior']",108.69,0.7363,True
Metoclopramide,Chemotherapy Nausea,"[{'ingredient': 'Metoclopramide HCl', 'mg': 39, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2447.87,0.5014,True
Ibuprofen OD,Arthritis,"[{'ingredient': 'Ibuprofen', 'mg': 275, 'percentage': 100.0}]",['Child'],1443.79,0.7061,True
Erythropoietin Forte,Chronic Kidney Disease,"[{'ingredient': 'Epoetin Alfa', 'mg': 5865, 'percentage': 100.0}]",['Senior'],742.1,0.6933,False
Methotrexate,Arthritis,"[{'ingredient': 'Methotrexate', 'mg': 23, 'percentage': 100.0}]","['Child', 'Adult']",1470.28,0.8328,True
Secukinumab,Psoriasis,"[{'ingredient': 'Secukinumab', 'mg': 220, 'percentage': 100.0}]",['Adult'],11085.63,0.6353,True
Sotalol Forte,Arrhythmia,"[{'ingredient': 'Sotalol HCl', 'mg': 210, 'percentage': 100.0}]",['Senior'],827.59,0.797,True
Levocetirizine SR,Allergic Rhinitis,"[{'ingredient': 'Levocetirizine HCl', 'mg': 3.5, 'percentage': 100.0}]","['Adult', 'Senior']",293.94,0.9026,True
Clobetasol,Eczema,"[{'ingredient': 'Clobetasol Propionate', 'mg': 0.5, 'percentage': 100.0}]","['Child', 'Adult']",2843.95,0.9228,True
Nifedipine 1000mg,Hypertension,"[{'ingredient': 'Nifedipine', 'mg': 30, 'percentage': 100.0}]",['Adult'],509.87,0.8874,True
Azithromycin,Otitis Media,"[{'ingredient': 'Azithromycin Dihydrate', 'mg': 290, 'percentage': 100.0}]","['Adult', 'Senior']",204.36,0.632,True
Sucralfate,Gastritis,"[{'ingredient': 'Sucralfate', 'mg': 585, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",143.7,0.7276,False
Betamethasone CR,Eczema,"[{'ingredient': 'Betamethasone Valerate', 'mg': 3.0, 'percentage': 100.0}]","['Child', 'Adult']",645.06,0.9283,True
Duloxetine OD,Chronic Pain,"[{'ingredient': 'Duloxetine HCl', 'mg': 56, 'percentage': 100.0}]",['Adult'],1197.54,0.74,True
Fentanyl Patch CR,Cancer Pain Management,"[{'ingredient': 'Fentanyl', 'mg': 39, 'percentage': 100.0}]","['Adult', 'Senior']",3811.82,0.9344,True
Linagliptin 500mg,Type 2 Diabetes,"[{'ingredient': 'Linagliptin', 'mg': 5.0, 'percentage': 100.0}]","['Child', 'Adult']",964.3,0.6634,True
Amitriptyline,Migraine,"[{'ingredient': 'Amitriptyline', 'mg': 11.0, 'percentage': 100.0}]",['Adult'],523.06,0.5748,False
Dexlansoprazole,GERD,"[{'ingredient': 'Dexlansoprazole', 'mg': 46, 'percentage': 100.0}]","['Child', 'Adult']",258.6,0.7196,True
Tiotropium Forte,Asthma,"[{'ingredient': 'Tiotropium Bromide', 'mg': 10.5, 'percentage': 100.0}]",['Adult'],575.11,0.6047,True
Ketoconazole CR,Fungal Infection,"[{'ingredient': 'Ketoconazole', 'mg': 200, 'percentage': 100.0}]","['Adult', 'Senior']",400.99,0.7339,True
Tretinoin,Acne Vulgaris,"[{'ingredient': 'Tretinoin', 'mg': 0.069, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",239.34,0.8937,True
Montelukast,Allergic Rhinitis,"[{'ingredient': 'Montelukast Sodium', 'mg': 8.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",243.19,0.9293,True
Montelukast,Asthma,"[{'ingredient': 'Montelukast Sodium', 'mg': 4.0, 'percentage': 100.0}]","['Adult', 'Senior']",1288.07,0.8623,True
Morphine Plus,Cancer Pain Management,"[{'ingredient': 'Morphine Sulphate', 'mg': 155, 'percentage': 100.0}]",['Adult'],2905.47,0.5347,True
GnRH Agonist,Endometriosis,"[{'ingredient': 'Leuprolide Acetate', 'mg': 3.0, 'percentage': 100.0}]",['Child'],876.43,0.5888,True
Betahistine XR,Vertigo,"[{'ingredient': 'Betahistine Dihydrochloride', 'mg': 10.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",184.26,0.5192,True
Levothyroxine,Hypothyroidism,"[{'ingredient': 'Levothyroxine Sodium', 'mg': 95, 'percentage': 100.0}]","['Adult', 'Senior']",83.13,0.6469,True
Foracort,Asthma,"[{'ingredient': 'Formoterol', 'mg': 7.0, 'percentage': 2.1}, {'ingredient': 'Budesonide', 'mg': 330, 'percentage': 97.9}]",['Adult'],257.16,0.6741,True
Indomethacin,Gout,"[{'ingredient': 'Indomethacin', 'mg': 59, 'percentage': 100.0}]","['Adult', 'Senior']",300.11,0.8274,True
Lubiprostone 250mg,Irritable Bowel Syndrome,"[{'ingredient': 'Lubiprostone', 'mg': 12.0, 'percentage': 100.0}]","['Adult', 'Senior']",470.44,0.5076,True
Calcium Acetate,Chronic Kidney Disease,"[{'ingredient': 'Calcium Acetate', 'mg': 675, 'percentage': 100.0}]","['Adult', 'Senior']",1188.94,0.824,True
Prazosin,PTSD,"[{'ingredient': 'Prazosin HCl', 'mg': 14.0, 'percentage': 100.0}]",['Child'],469.53,0.8099,False
Topamax,Migraine,"[{'ingredient': 'Topiramate', 'mg': 41, 'percentage': 100.0}]",['Child'],283.12,0.5295,True
Eszopiclone Plus,Insomnia,"[{'ingredient': 'Eszopiclone', 'mg': 2.0, 'percentage': 100.0}]","['Child', 'Adult']",375.95,0.9679,True
Pregabalin,Cancer Pain Management,"[{'ingredient': 'Pregabalin', 'mg': 99, 'percentage': 100.0}]","['Adult', 'Senior']",897.57,0.815,True
Nifedipine CR,Hypertension,"[{'ingredient': 'Nifedipine', 'mg': 15.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",611.82,0.5882,True
Famotidine 1000mg,Gastritis,"[{'ingredient': 'Famotidine', 'mg': 35, 'percentage': 100.0}]",['Senior'],253.36,0.7323,True
Dutasteride,Benign Prostatic Hyperplasia,"[{'ingredient': 'Dutasteride', 'mg': 0.5, 'percentage': 100.0}]","['Adult', 'Senior']",484.74,0.726,True
Diclofenac Gel Plus,Lower Back Pain,"[{'ingredient': 'Diclofenac Diethylamine', 'mg': 10.0, 'percentage': 100.0}]",['Senior'],220.76,0.6702,True
Famotidine Plus,Gastritis,"[{'ingredient': 'Famotidine', 'mg': 24, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",100.03,0.7066,False
RHEZ Combo CR,Tuberculosis,"[{'ingredient': 'Rifampicin', 'mg': 150, 'percentage': 16.7}, {'ingredient': 'Isoniazid', 'mg': 75, 'percentage': 8.3}, {'ingredient': 'Ethambutol', 'mg': 275, 'percentage': 30.6}, {'ingredient': 'Pyrazinamide', 'mg': 400, 'percentage': 44.4}]","['Adult', 'Senior']",296.59,0.9079,True
Naproxen,Arthritis,"[{'ingredient': 'Naproxen', 'mg': 430, 'percentage': 100.0}]",['Child'],1277.07,0.7068,True
ORS OD,Gastroenteritis,"[{'ingredient': 'Sodium Chloride', 'mg': 520, 'percentage': 14.8}, {'ingredient': 'Potassium Chloride', 'mg': 300, 'percentage': 8.5}, {'ingredient': 'Glucose', 'mg': 2700, 'percentage': 76.7}]","['Adult', 'Senior']",169.64,0.8319,True
Lithium,Bipolar Disorder,"[{'ingredient': 'Lithium Carbonate', 'mg': 340, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",951.0,0.7966,True
Chloramphenicol 250mg,Conjunctivitis,"[{'ingredient': 'Chloramphenicol', 'mg': 9.5, 'percentage': 100.0}]","['Adult', 'Senior']",171.68,0.6772,True
Linagliptin,Type 2 Diabetes,"[{'ingredient': 'Linagliptin', 'mg': 5.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",805.87,0.7807,False
Bisoprolol,Heart Failure,"[{'ingredient': 'Bisoprolol Fumarate', 'mg': 5.0, 'percentage': 100.0}]",['Senior'],2943.1,0.6146,True
Domperidone Plus,GERD,"[{'ingredient': 'Domperidone', 'mg': 17.5, 'percentage': 100.0}]",['Child'],89.61,0.7002,True
Ivabradine,Angina,"[{'ingredient': 'Ivabradine HCl', 'mg': 6.0, 'percentage': 100.0}]","['Adult', 'Senior']",979.17,0.5816,True
Celecoxib Plus,Arthritis,"[{'ingredient': 'Celecoxib', 'mg': 120, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",679.31,0.6377,True
Metformin,Type 2 Diabetes,"[{'ingredient': 'Metformin HCl', 'mg': 975, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",802.83,0.6994,True
Danazol,Endometriosis,"[{'ingredient': 'Danazol', 'mg': 165, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1430.87,0.9067,True
Doxycycline XR,Acne Vulgaris,"[{'ingredient': 'Doxycycline Hyclate', 'mg': 80, 'percentage': 100.0}]","['Adult', 'Senior']",366.59,0.5552,True
Aripiprazole,Bipolar Disorder,"[{'ingredient': 'Aripiprazole', 'mg': 21, 'percentage': 100.0}]",['Senior'],400.74,0.6914,True
Lubiprostone OD,Irritable Bowel Syndrome,"[{'ingredient': 'Lubiprostone', 'mg': 17.0, 'percentage': 100.0}]",['Adult'],82.86,0.6752,False
Amitriptyline,Major Depressive Disorder,"[{'ingredient': 'Amitriptyline HCl', 'mg': 120, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",223.91,0.9024,True
Ondansetron,Gastroenteritis,"[{'ingredient': 'Ondansetron HCl', 'mg': 7.5, 'percentage': 100.0}]","['Adult', 'Senior']",116.14,0.663,True
Fluoxetine 250mg,Major Depressive Disorder,"[{'ingredient': 'Fluoxetine HCl', 'mg': 18.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",376.15,0.799,True
Clomiphene 500mg,Polycystic Ovary Syndrome,"[{'ingredient': 'Clomiphene Citrate', 'mg': 74, 'percentage': 100.0}]",['Senior'],163.49,0.7305,True
Montelukast 250mg,Allergic Rhinitis,"[{'ingredient': 'Montelukast Sodium', 'mg': 4.0, 'percentage': 100.0}]","['Adult', 'Senior']",279.49,0.7464,True
Prednisolone,Arthritis,"[{'ingredient': 'Prednisolone', 'mg': 23, 'percentage': 100.0}]",['Child'],1545.86,0.6991,True
Insulin Lispro,Type 1 Diabetes,"[{'ingredient': 'Insulin Lispro', 'mg': 100, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",516.86,0.7263,True
Amoxicillin,Otitis Media,"[{'ingredient': 'Amoxicillin Trihydrate', 'mg': 275, 'percentage': 100.0}]","['Child', 'Adult']",162.97,0.9619,True
Zyrtec XR,Common Cold,"[{'ingredient': 'Cetirizine', 'mg': 10.0, 'percentage': 100.0}]","['Child', 'Adult']",31.77,0.6021,True
Famotidine 500mg,Gastritis,"[{'ingredient': 'Famotidine', 'mg': 20, 'percentage': 100.0}]","['Adult', 'Senior']",119.7,0.7915,True
Piperacillin Plus,Pneumonia,"[{'ingredient': 'Piperacillin', 'mg': 2535, 'percentage': 85.1}, {'ingredient': 'Tazobactam', 'mg': 445, 'percentage': 14.9}]","['Adult', 'Senior']",857.7,0.5182,True
Nitrofurantoin,Urinary Tract Infection,"[{'ingredient': 'Nitrofurantoin', 'mg': 82, 'percentage': 100.0}]","['Adult', 'Senior']",186.72,0.6449,False
Ventolin Plus,Asthma,"[{'ingredient': 'Salbutamol', 'mg': 140, 'percentage': 100.0}]",['Senior'],702.74,0.5934,True
Morphine,Cancer Pain Management,"[{'ingredient': 'Morphine Sulphate', 'mg': 185, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1363.29,0.5162,True
Paracetamol Forte,Post-operative Pain,"[{'ingredient': 'Paracetamol', 'mg': 660, 'percentage': 100.0}]","['Adult', 'Senior']",441.34,0.9341,True
Propanorm OD,Migraine,"[{'ingredient': 'Propranolol', 'mg': 50, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",386.2,0.7729,True
Metolar,Hypertension,"[{'ingredient': 'Metoprolol', 'mg': 100, 'percentage': 100.0}]","['Child', 'Adult']",545.61,0.7655,True
Loratadine,Allergic Rhinitis,"[{'ingredient': 'Loratadine', 'mg': 10.0, 'percentage': 100.0}]",['Senior'],119.52,0.9627,True
Bupropion XR,Major Depressive Disorder,"[{'ingredient': 'Bupropion HCl', 'mg': 210, 'percentage': 100.0}]",['Adult'],867.08,0.7537,True
Diclofenac,Post-operative Pain,"[{'ingredient': 'Diclofenac Sodium', 'mg': 63, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",645.44,0.641,True
Amoxicillin SR,Otitis Media,"[{'ingredient': 'Amoxicillin Trihydrate', 'mg': 495, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",228.02,0.9558,True
Risperidone,Bipolar Disorder,"[{'ingredient': 'Risperidone', 'mg': 4.0, 'percentage': 100.0}]",['Adult'],518.09,0.6926,True
Fosfomycin 500mg,Urinary Tract Infection,"[{'ingredient': 'Fosfomycin Trometamol', 'mg': 3000, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",65.38,0.9162,True
Fenofibrate,Hyperlipidemia,"[{'ingredient': 'Fenofibrate', 'mg': 125, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2266.29,0.5216,True
Duloxetine Forte,Major Depressive Disorder,"[{'ingredient': 'Duloxetine HCl', 'mg': 110, 'percentage': 100.0}]",['Senior'],365.53,0.8248,False
Mebeverine,Irritable Bowel Syndrome,"[{'ingredient': 'Mebeverine HCl', 'mg': 155, 'percentage': 100.0}]","['Child', 'Adult']",158.37,0.5229,True
Spironolactone 1000mg,Heart Failure,"[{'ingredient': 'Spironolactone', 'mg': 20.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1197.01,0.7974,False
Artemether,Malaria,"[{'ingredient': 'Artemether', 'mg': 68, 'percentage': 28.0}, {'ingredient': 'Lumefantrine', 'mg': 175, 'percentage': 72.0}]","['Adult', 'Senior']",269.86,0.9083,False
Domperidone,GERD,"[{'ingredient': 'Domperidone', 'mg': 19.5, 'percentage': 100.0}]",['Adult'],42.47,0.7371,True
Ramelteon,Insomnia,"[{'ingredient': 'Ramelteon', 'mg': 8.0, 'percentage': 100.0}]",['Child'],330.68,0.518,False
Agomelatine Plus,Major Depressive Disorder,"[{'ingredient': 'Agomelatine', 'mg': 25, 'percentage': 100.0}]","['Adult', 'Senior']",482.37,0.7873,True
Ezetimibe,Hyperlipidemia,"[{'ingredient': 'Ezetimibe', 'mg': 10.0, 'percentage': 100.0}]","['Adult', 'Senior']",2141.27,0.9006,True
Eszopiclone SR,Insomnia,"[{'ingredient': 'Eszopiclone', 'mg': 1.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",352.18,0.9233,True
Ventolin,Asthma,"[{'ingredient': 'Salbutamol', 'mg': 155, 'percentage': 100.0}]","['Adult', 'Senior']",844.88,0.9195,True
Allopurinol OD,Gout,"[{'ingredient': 'Allopurinol', 'mg': 645, 'percentage': 100.0}]",['Child'],121.2,0.7413,True
Propranolol Plus,Hyperthyroidism,"[{'ingredient': 'Propranolol HCl', 'mg': 31, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",320.9,0.8592,True
Ipratropium OD,Asthma,"[{'ingredient': 'Ipratropium Bromide', 'mg': 33, 'percentage': 100.0}]","['Child', 'Adult']",598.4,0.9347,True
Jardiance,Type 2 Diabetes,"[{'ingredient': 'Empagliflozin', 'mg': 25, 'percentage': 100.0}]",['Child'],323.32,0.6881,False
Tramadol Plus,Fibromyalgia,"[{'ingredient': 'Tramadol HCl', 'mg': 79, 'percentage': 100.0}]","['Child', 'Adult']",359.01,0.5902,True
Eszopiclone 250mg,Insomnia,"[{'ingredient': 'Eszopiclone', 'mg': 2.0, 'percentage': 100.0}]",['Adult'],251.03,0.6544,True
Omeprazole Forte,Gastritis,"[{'ingredient': 'Omeprazole', 'mg': 21, 'percentage': 100.0}]","['Child', 'Adult']",229.71,0.6488,False
Lubiprostone Generic,Irritable Bowel Syndrome,"[{'ingredient': 'Lubiprostone', 'mg': 9.0, 'percentage': 100.0}]","['Adult', 'Senior']",265.6,0.8524,True
Clarithromycin,Bronchitis,"[{'ingredient': 'Clarithromycin', 'mg': 420, 'percentage': 100.0}]","['Adult', 'Senior']",227.22,0.9657,True
Coal Tar Plus,Psoriasis,"[{'ingredient': 'Coal Tar Solution', 'mg': 6.0, 'percentage': 100.0}]",['Child'],14199.39,0.5678,True
Valproate,Epilepsy,"[{'ingredient': 'Sodium Valproate', 'mg': 315, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",156.11,0.9096,True
Scopolamine XR,Vertigo,"[{'ingredient': 'Scopolamine', 'mg': 1.0, 'percentage': 100.0}]",['Child'],129.8,0.9496,True
Cetrizet XR,Common Cold,"[{'ingredient': 'Cetirizine', 'mg': 8.0, 'percentage': 100.0}]",['Adult'],128.87,0.6031,True
Benadryl 500mg,Common Cold,"[{'ingredient': 'Diphenhydramine', 'mg': 49, 'percentage': 100.0}]","['Child', 'Adult']",90.92,0.55,True
Atomoxetine,ADHD,"[{'ingredient': 'Atomoxetine HCl', 'mg': 41, 'percentage': 100.0}]","['Adult', 'Senior']",942.07,0.9662,True
Amlodipine 500mg,Angina,"[{'ingredient': 'Amlodipine Besylate', 'mg': 6.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",362.8,0.9243,True
Liothyronine,Hypothyroidism,"[{'ingredient': 'Liothyronine Sodium', 'mg': 24, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",79.03,0.9557,True
Capsaicin Patch,Neuropathic Pain,"[{'ingredient': 'Capsaicin', 'mg': 8.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",571.18,0.5856,True
Zyrtec OD,Common Cold,"[{'ingredient': 'Cetirizine', 'mg': 10.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",115.55,0.6875,True
Atorvastatin,Hyperlipidemia,"[{'ingredient': 'Atorvastatin Calcium', 'mg': 55, 'percentage': 100.0}]",['Adult'],2286.18,0.6337,True
Infliximab 1000mg,Crohn's Disease,"[{'ingredient': 'Infliximab', 'mg': 300, 'percentage': 100.0}]",['Senior'],3076.95,0.9345,True
Cetrizet Plus,Common Cold,"[{'ingredient': 'Cetirizine', 'mg': 7.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",64.16,0.8492,True
Allegra CR,Common Cold,"[{'ingredient': 'Fexofenadine', 'mg': 155, 'percentage': 100.0}]",['Senior'],56.48,0.6263,True
Propylthiouracil Plus,Hyperthyroidism,"[{'ingredient': 'Propylthiouracil', 'mg': 160, 'percentage': 100.0}]","['Adult', 'Senior']",158.87,0.5151,True
Meclizine SR,Vertigo,"[{'ingredient': 'Meclizine HCl', 'mg': 29, 'percentage': 100.0}]",['Child'],146.8,0.9126,True
Finasteride Generic,Benign Prostatic Hyperplasia,"[{'ingredient': 'Finasteride', 'mg': 5.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",674.22,0.8838,True
Sertraline CR,Anxiety Disorder,"[{'ingredient': 'Sertraline HCl', 'mg': 160, 'percentage': 100.0}]","['Adult', 'Senior']",169.35,0.8199,False
Ondansetron,Gastroenteritis,"[{'ingredient': 'Ondansetron HCl', 'mg': 6.5, 'percentage': 100.0}]","['Adult', 'Senior']",20.8,0.601,True
Teriparatide,Osteoporosis,"[{'ingredient': 'Teriparatide', 'mg': 20, 'percentage': 100.0}]","['Adult', 'Senior']",437.74,0.7186,True
Dorzolamide Plus,Glaucoma,"[{'ingredient': 'Dorzolamide HCl', 'mg': 20, 'percentage': 100.0}]",['Adult'],929.31,0.8647,True
Vonoprazan Generic,GERD,"[{'ingredient': 'Vonoprazan Fumarate', 'mg': 17.5, 'percentage': 100.0}]","['Child', 'Adult']",295.61,0.9337,True
Prednisolone,Arthritis,"[{'ingredient': 'Prednisolone', 'mg': 17.0, 'percentage': 100.0}]",['Child'],383.96,0.625,True
Chlorthalidone XR,Hypertension,"[{'ingredient': 'Chlorthalidone', 'mg': 15.0, 'percentage': 100.0}]",['Senior'],354.55,0.6431,True
Doxepin Plus,Insomnia,"[{'ingredient': 'Doxepin HCl', 'mg': 5.0, 'percentage': 100.0}]","['Adult', 'Senior']",374.39,0.6407,True
Bisoprolol 1000mg,Heart Failure,"[{'ingredient': 'Bisoprolol Fumarate', 'mg': 3.0, 'percentage': 100.0}]",['Child'],2269.32,0.5642,False
Ondansetron,Chemotherapy Nausea,"[{'ingredient': 'Ondansetron HCl', 'mg': 16.5, 'percentage': 100.0}]","['Adult', 'Senior']",295.02,0.6021,True
Ear Drops Plus,Otitis Media,"[{'ingredient': 'Ciprofloxacin', 'mg': 3.0, 'percentage': 75.0}, {'ingredient': 'Dexamethasone', 'mg': 1.0, 'percentage': 25.0}]","['Child', 'Adult']",308.6,0.8268,False
Tacrolimus,Eczema,"[{'ingredient': 'Tacrolimus', 'mg': 0.074, 'percentage': 100.0}]","['Child', 'Adult']",2284.3,0.595,True
Nitrofurantoin Plus,Urinary Tract Infection,"[{'ingredient': 'Nitrofurantoin', 'mg': 60, 'percentage': 100.0}]",['Adult'],197.59,0.965,True
